product_id,name,category,subcategory,cost,list_price,supplier
P0167,Urban Puzzle Edition,TOYS & GAMES,Puzzles,31.8,53.59,SUP-029
P0168,Urban Figure Kit,Toys & Games,Figures,11.22,22.37,SUP-015
P0169,Deluxe Womenswear Line,Apparel,Womenswear,18.77,35.31,SUP-028
P0170,Nordic Pantry Series,Grocery,Pantry,7.56,10.59,SUP-023
P0171,Signature Bedding Kit,Home & Kitchen,Bedding,38.24,80.8,SUP-014
P0172,Ultra Cycling Collection,Sports & Outdoors,Cycling,66.58,106.47,SUP-008
P0173,Deluxe Small Appliance Kit,Home & Kitchen,Small Appliances,38.24,71.77,SUP-025
P0174,Urban Snack Series,Grocery,Snacks,9.06,12.19,SUP-011
P0175,Signature Small Appliance Kit,Home & Kitchen,,92.05,147.37,SUP-024
P0176,Pro Wearable Collection, Electronics ,Wearables,300.12,342.77,SUP-006
P0177,Pro Accessorie Pack,Apparel,Accessories,28.06,90.1,SUP-028
P0178,Nordic Snack Model,Grocery,Snacks,13.62,18.18,SUP-024
P0179,Eco Coffee & Tea Line,Grocery,Coffee & Tea,13.09,17.12,SUP-004
P0180,Signature Furniture Model,Office Supplies,Furniture,38.6,54.63,SUP-017
P0181,Everyday Coffee & Tea Series,Grocery,Coffee & Tea,16.98,23.29,SUP-030
P0182,Nordic Coffee & Tea Kit,Grocery,Coffee & Tea,10.19,15.8,SUP-022
P0183,Nordic Fitnes Edition,Sports & Outdoors,Fitness,101.33,174.05,SUP-013
P0184,Classic Menswear Collection,Apparel,Menswear,34.32,62.88,SUP-024
P0185,Signature Furniture Line,Office Supplies,Furniture,17.42,28.48,SUP-010
P0186,Essential Skincare Edition,Beauty,Skincare,12.53,25.62,SUP-027
P0187,Pro Womenswear Collection,Apparel,Womenswear,21.25,51.57,SUP-005
P0188,Everyday Audio Edition,Electronics,Audio,183.4,243.56,SUP-001
P0189,Premium Paper Collection,Office Supplies,Paper,25.67,36.62,SUP-020
P0190,Signature Storage Series,Home & Kitchen,Storage,46.7,73.58,SUP-026
P0191,Signature Snack Series,Grocery,Snacks,11.3,14.47,SUP-003
P0192,Compact Small Appliance Collection,Home & Kitchen,Small Appliances,84.64,137.34,SUP-023
P0193,Everyday Audio Collection,Electronics,Audio,257.67,380.68,SUP-012
P0194,Ultra Outdoor Toy Pack,Toys & Games,Outdoor Toys,15.06,26.93,SUP-004
P0195,Pro Bedding Series,Home & Kitchen,Bedding,36.16,64.7,SUP-025
P0196,Compact Cookware Pack,Home & Kitchen,Cookware,71.6,118.61,SUP-020
P0197,Premium Skincare Pack,Beauty,Skincare,12.78,30.43,SUP-030
P0198,Urban Figure Line,Toys & Games,Figures,11.47,18.17,SUP-020
P0199,Eco Bedding Kit,Home & Kitchen,Bedding,26.51,39.03,SUP-017
P0200,Signature Womenswear Model,Apparel,Womenswear,56.51,111.96,SUP-002
P0201,Deluxe Printer Collection,Office Supplies,Printers,12.02,17.25,SUP-013
P0202,Signature Snack Edition,Grocery,Snacks,6.23,7.93,SUP-012
P0203,Eco Team Sport Line,Sports & Outdoors,Team Sports,87.58,120.1,SUP-017
P0204,Essential Storage Series,Home & Kitchen,Storage,63.46,102.25,SUP-007
P0205,Urban Phone Set,Electronics,Phones,332.92,447.94,SUP-027
P0206,Premium Cookware Line,Home & Kitchen,Cookware,76.9,121.03,SUP-002
P0207,Ultra Audio Collection,Electronics,Audio,783.89,918.25,SUP-021
P0208,Ultra Skincare Series,Beauty,Skincare,8.98,17.98,SUP-013
P0209,Ultra Phone Edition,Electronics,Phones,297.24,362.92,SUP-010
P0210,Compact Camping Collection,Sports & Outdoors,Camping,34.38,67.0,SUP-008
P0211,Deluxe Cosmetic Series,Beauty,Cosmetics,10.02,23.23,SUP-028
P0212,Pro Fragrance Line,Beauty,Fragrance,8.23,15.57,SUP-019
P0213,Pro Small Appliance Series,Home & Kitchen,Small Appliances,86.93,139.61,SUP-025
P0214,Everyday Puzzle Edition,Toys & Games,Puzzles,30.03,48.9,SUP-013
P0215,Eco Paper Pack,Office Supplies,Paper,20.62,31.41,SUP-025
P0216,Ultra Printer Model,Office Supplies,Printers,18.7,24.57,SUP-015
P0217,Nordic Audio Set,Electronics,Audio,300.44,395.12,SUP-018
P0218,Pro Phone Pack,Electronics,Phones,364.97,491.27,SUP-004
P0219,Urban Pantry Kit,Grocery,Pantry,6.63,10.38,SUP-013
P0220,Premium Womenswear Set,Apparel,Womenswear,25.9,51.31,SUP-028
P0221,Compact Footwear Pack,Apparel,Footwear,10.41,24.67,SUP-018
P0222,Premium Camping Collection,Sports & Outdoors,Camping,79.08,114.02,SUP-010
P0223,Compact Cosmetic Collection,Beauty,Cosmetics,8.98,28.46,SUP-005
P0224,Essential Household Set,Grocery,Household,11.78,17.02,SUP-017
P0225,Signature Bedding Pack,Home & Kitchen,Bedding,48.94,73.02,SUP-028
P0226,Deluxe Coffee & Tea Kit,Grocery,Coffee & Tea,13.78,21.27,SUP-029
P0227,Compact Camera Pack,Electronics,Cameras,367.43,449.5,SUP-001
P0228,Classic Cycling Series,Sports & Outdoors,Cycling,129.62,206.34,SUP-001
P0229,Essential Haircare Edition,Beauty,Haircare,5.9,10.9,SUP-014
P0230,Classic Phone Pack,Electronics,Phones,365.64,425.37,SUP-027
P0231,Compact Bedding Kit,Home & Kitchen,Bedding,67.96,111.45,SUP-005
P0232,Signature Womenswear Edition,Apparel,Womenswear,8.87,19.09,SUP-029
P0233,Nordic Coffee & Tea Pack,Grocery,Coffee & Tea,9.79,12.09,SUP-018
P0234,Urban Cosmetic Model,Beauty,Cosmetics,4.34,11.33,SUP-015
P0235,Everyday Coffee & Tea Pack,Grocery,Coffee & Tea,4.26,5.33,SUP-013
P0236,Compact Figure Pack,Toys & Games,Figures,18.55,29.41,SUP-024
P0237,Urban Menswear Kit, Apparel ,Menswear,26.63,59.69,SUP-027
P0238,Classic Paper Line,Office Supplies,Paper,37.58,48.23,SUP-021
P0239,Pro Phone Set,Electronics,Phones,230.71,295.28,SUP-019
P0240,Classic Laptop Pack,Electronics,Laptops,447.81,587.35,SUP-007
P0241,Pro Outdoor Toy Edition,Toys & Games,Outdoor Toys,32.3,48.01,SUP-003
P0242,Nordic Furniture Line,Office Supplies,Furniture,30.59,45.98,SUP-030
P0243,Classic Cookware Pack,Home & Kitchen,Cookware,47.3,103.41,SUP-020
P0244,Premium Camping Edition,Sports & Outdoors,Camping,75.25,120.66,SUP-017
P0245,Nordic Haircare Edition,Beauty,Haircare,32.78,81.87,SUP-022
P0246,Eco Puzzle Collection,Toys & Games,Puzzles,18.83,32.74,SUP-029
P0247,Urban Cosmetic Pack,Beauty,Cosmetics,10.36,33.93,SUP-005
P0248,Everyday Footwear Kit,Apparel,Footwear,19.99,39.61,SUP-012
P0249,Premium Accessorie Collection,Apparel,Accessories,43.89,75.16,SUP-010
P0250,Ultra Accessorie Edition,Apparel,Accessories,32.29,58.97,SUP-003
P0251,Urban Fragrance Edition,Beauty,Fragrance,22.78,44.59,SUP-030
P0252,Urban Puzzle Pack,Toys & Games,Puzzles,9.38,16.7,SUP-024
P0253,Everyday Womenswear Edition,Apparel,Womenswear,24.93,53.9,SUP-030
P0254,Essential Small Appliance Set,Home & Kitchen,Small Appliances,13.53,21.17,SUP-012
P0255,Compact Small Appliance Kit,Home & Kitchen,Small Appliances,43.74,80.24,SUP-003
P0256,Signature Furniture Set,Office Supplies,Furniture,19.7,26.97,SUP-019
P0257,Classic Board Game Collection,Toys & Games,Board Games,28.46,42.33,SUP-030
P0258,Ultra Camera Set,Electronics,Cameras,260.97,350.07,SUP-030
P0259,Ultra Laptop Pack,Electronics,Laptops,260.24,328.48,SUP-002
P0260,Ultra Skincare Collection,Beauty,Skincare,16.02,39.58,SUP-017
P0261,Deluxe Storage Set,Home & Kitchen,Storage,62.51,96.89,SUP-019
P0262,Urban Puzzle Series,Toys & Games,Puzzles,28.98,60.64,SUP-003
P0263,Ultra Womenswear Set,Apparel,Womenswear,32.85,77.89,SUP-012
P0264,Signature Small Appliance Model,Home & Kitchen,Small Appliances,41.75,69.99,SUP-010
P0265,Deluxe Coffee & Tea Set,Grocery,Coffee & Tea,7.46,10.81,SUP-007
P0266,Essential Bedding Set,Home & Kitchen,Bedding,68.44,107.57,SUP-006
P0267,Pro Bedding Series,Home & Kitchen,Bedding,22.32,36.84,SUP-016
P0268,Premium Bedding Model,Home & Kitchen,Bedding,14.13,20.34,SUP-015
P0269,Premium Camera Edition,Electronics,Cameras,385.94,446.98,SUP-007
P0270,Deluxe Wearable Series,Electronics,Wearables,277.33,433.02,SUP-015
P0271,Urban Phone Set,Electronics,Phones,232.66,290.99,SUP-025
P0272,Deluxe Storage Line,Home & Kitchen,Storage,34.25,64.38,SUP-020
P0273,Urban Laptop Line,Electronics,Laptops,266.37,395.87,SUP-020
P0274,Essential Cosmetic Model,Beauty,Cosmetics,9.85,20.9,SUP-013
P0275,Signature Fragrance Line,Beauty,Fragrance,14.66,29.48,SUP-014
P0276,Ultra Footwear Line,Apparel,Footwear,10.63,22.46,SUP-006
P0277,Deluxe Womenswear Kit,APPAREL,Womenswear,8.85,18.0,SUP-009
P0278,Pro Cycling Collection,Sports & Outdoors,Cycling,34.79,51.66,SUP-006
P0279,Eco Outdoor Toy Kit,Toys & Games,Outdoor Toys,24.5,44.3,SUP-023
P0280,Essential Board Game Set,Toys & Games,Board Games,12.12,23.89,SUP-015
P0281,Pro Camera Line,Electronics,Cameras,336.48,411.86,SUP-004
P0282,Everyday Storage Line,Home & Kitchen,Storage,30.44,47.48,SUP-015
P0283,Signature Cookware Edition,Home & Kitchen,Cookware,26.46,45.84,SUP-014
P0284,Signature Small Appliance Edition,Home & Kitchen,Small Appliances,31.39,58.07,SUP-006
P0285,Premium Fitnes Pack,Sports & Outdoors,Fitness,96.72,124.57,SUP-023
P0286,Eco Menswear Series,Apparel,Menswear,25.14,52.82,SUP-014
P0287,Eco Wearable Model,Electronics,Wearables,136.27,154.69,SUP-023
P0288,Nordic Menswear Series,Apparel,Menswear,44.81,89.81,SUP-027
P0289,Nordic Cycling Set,Sports & Outdoors,Cycling,19.18,28.88,
P0290,Signature Phone Kit,Electronics,Phones,437.27,617.54,SUP-001
P0291,Premium Puzzle Line,Toys & Games,Puzzles,23.91,45.39,SUP-018
P0292,Everyday Wearable Kit,Electronics,Wearables,148.38,225.0,SUP-007
P0293,Signature Coffee & Tea Kit,Grocery,Coffee & Tea,6.06,7.62,SUP-027
P0294,Urban Laptop Kit,Electronics,Laptops,424.69,554.58,SUP-009
P0295,Deluxe Figure Pack,Toys & Games,Figures,20.61,30.91,SUP-017
P0296,Eco Household Kit,Grocery,Household,16.23,19.46,SUP-002
P0297,Nordic Household Series,Grocery,Household,11.37,13.82,SUP-021
P0298,Ultra Furniture Pack,Office Supplies,Furniture,36.96,57.62,SUP-008
P0299,Urban Printer Pack,Office Supplies,Printers,32.04,43.36,SUP-025
P0300,Ultra Haircare Model,Beauty,Haircare,10.66,21.76,SUP-008
P0301,Premium Paper Set,Office Supplies,Paper,13.72,19.93,SUP-024
P0302,Signature Wearable Set,Electronics,Wearables,327.66,377.83,SUP-007
P0303,Classic Cycling Pack, Sports & Outdoors ,Cycling,123.79,158.13,SUP-002
P0304,Ultra Fitnes Set,Sports & Outdoors,Fitness,57.32,92.91,SUP-003
P0305,Compact Board Game Edition,Toys & Games,Board Games,11.62,16.58,SUP-006
P0306,Ultra Menswear Kit,Apparel,Menswear,22.83,40.54,SUP-026
P0307,Deluxe Footwear Edition,Apparel,Footwear,16.39,35.84,SUP-013
P0308,Compact Fragrance Pack,Beauty,Fragrance,10.49,32.24,SUP-022
P0309,Signature Cookware Edition,Home & Kitchen,Cookware,69.67,128.04,SUP-007
P0310,Ultra Cookware Edition,Home & Kitchen,Cookware,83.54,141.71,SUP-024
P0311,Urban Fitnes Model,Sports & Outdoors,Fitness,52.98,83.74,SUP-009
P0312,Eco Menswear Model,Apparel,Menswear,26.85,51.56,SUP-013
P0313,Ultra Bedding Collection,Home & Kitchen,Bedding,20.76,34.57,SUP-002
P0314,Pro Menswear Edition,Apparel,Menswear,22.07,50.82,SUP-007
P0315,Nordic Womenswear Series,Apparel,Womenswear,51.41,82.83,SUP-007
P0316,Classic Footwear Series,Apparel,Footwear,44.71,80.83,SUP-019
P0317,Signature Footwear Edition,Apparel,Footwear,22.87,49.39,SUP-029
P0318,Essential Skincare Edition,Beauty,Skincare,18.83,44.88,SUP-016
P0319,Essential Accessorie Line,Apparel,Accessories,39.0,62.41,SUP-004
P0320,Ultra Pantry Model,Grocery,Pantry,12.46,16.68,SUP-018
P0321,Compact Pantry Set,Grocery,,9.18,11.92,SUP-008
P0322,Essential Team Sport Set,Sports & Outdoors,Team Sports,55.58,83.68,SUP-006
P0323,Signature Womenswear Set,Apparel,Womenswear,9.8,22.54,SUP-028
P0324,Nordic Fitnes Kit,Sports & Outdoors,Fitness,39.81,60.67,SUP-015
P0325,Nordic Board Game Model,Toys & Games,Board Games,13.74,25.14,SUP-027
P0326,Eco Skincare Model,Beauty,Skincare,8.99,21.14,SUP-030
P0327,Urban Outdoor Toy Edition,Toys & Games,Outdoor Toys,24.15,42.1,SUP-011
P0328,Deluxe Fitnes Pack,Sports & Outdoors,Fitness,81.33,117.27,SUP-001
P0329,Ultra Haircare Model,Beauty,Haircare,8.25,18.25,SUP-015
P0330,Classic Small Appliance Set,Home & Kitchen,Small Appliances,66.92,102.59,SUP-001
P0331,Compact Printer Collection,Office Supplies,Printers,43.55,60.31,SUP-023
P0332,Eco Storage Collection,Home & Kitchen,Storage,26.92,41.3,SUP-007
P0333,Everyday Fragrance Set,Beauty,Fragrance,6.52,23.48,SUP-007
P0334,Classic Outdoor Toy Series,Toys & Games,Outdoor Toys,12.2,20.7,SUP-020
P0335,Essential Audio Series,Electronics,Audio,281.49,422.77,SUP-014
P0336,Deluxe Skincare Set,Beauty,Skincare,19.74,45.92,SUP-025
P0337,Compact Laptop Collection,Electronics,Laptops,398.98,507.1,SUP-030
P0338,Urban Paper Set,Office Supplies,Paper,22.6,31.31,SUP-006
P0339,Ultra Audio Line,Electronics,Audio,525.94,608.83,SUP-003
P0340,Nordic Coffee & Tea Model,Grocery,Coffee & Tea,19.86,27.05,SUP-025
